#tax_id,GeneID,Symbol
9606,354,KLK3
9606,355,FAS
9606,356,FASLG
9606,357,SHROOM2
9606,358,AQP1
9606,359,AQP2
9606,360,AQP3
9606,361,AQP4
9606,362,AQP5
9606,363,AQP6
9606,364,AQP7
9606,366,AQP9
9606,367,AR
9606,368,ABCC6
9606,369,ARAF
9606,372,ARCN1
9606,373,TRIM23
9606,374,AREG
9606,375,ARF1
9606,377,ARF3
9606,378,ARF4
9606,379,ARL4D
9606,380,ARF4P1
9606,381,ARF5
9606,382,ARF6
9606,383,ARG1
9606,384,ARG2
9606,387,RHOA
9606,388,RHOB
9606,389,RHOC
9606,390,RND3
9606,391,RHOG
9606,392,ARHGAP1
9606,393,ARHGAP4
9606,394,ARHGAP5
9606,395,ARHGAP6
9606,396,ARHGDIA
9606,397,ARHGDIB
9606,398,ARHGDIG
9606,399,RHOH
9606,400,ARL1
9606,401,PHOX2A
9606,402,ARL2
9606,403,ARL3
9606,405,ARNT
9606,406,ARNTL
9606,407,ARR3
9606,408,ARRB1
9606,409,ARRB2
9606,410,ARSA
9606,411,ARSB
9606,412,STS
9606,413,ARSC2
9606,414,ARSD
9606,415,ARSL
9606,416,ARSF
9606,417,ART1
9606,418,ART2P
9606,419,ART3
9606,420,ART4
9606,421,ARVCF
9606,424,ARVD3
9606,425,ARVD4
9606,427,ASAH1
9606,429,ASCL1
9606,430,ASCL2
9606,431,ASD1
9606,432,ASGR1
9606,433,ASGR2
9606,434,ASIP
9606,435,ASL
9606,436,ASLP1
9606,438,ASMT
9606,439,GET3
9606,440,ASNS
9606,442,ASNSP2
9606,443,ASPA
9606,444,ASPH
9606,445,ASS1
9606,447,ASS1P2
9606,449,ASS1P4
9606,450,ASS1P5
9606,451,ASS1P6
9606,453,ASS1P8
9606,454,ASS1P9
9606,455,ASS1P10
9606,459,ASS1P14
9606,460,ASTN1
9606,462,SERPINC1
9606,463,ZFHX3
9606,465,ATD
9606,466,ATF1
9606,467,ATF3
9606,468,ATF4
9606,469,ATF4P1
9606,470,ATHS
9606,471,ATIC
9606,472,ATM
9606,473,RERE
9606,474,ATOH1
9606,475,ATOX1
9606,476,ATP1A1
9606,477,ATP1A2
9606,478,ATP1A3
9606,479,ATP12A
9606,480,ATP1A4
9606,481,ATP1B1
9606,482,ATP1B2
9606,483,ATP1B3
9606,484,ATP1B3P1
9606,485,ATP1B1P1
9606,486,FXYD2
9606,487,ATP2A1
9606,488,ATP2A2
9606,489,ATP2A3
9606,490,ATP2B1
